74 s	 -0.2400	 -0.1300	 -0.0300	 -0.1600	 -0.1400	 -0.0800	 -0.0400
73	 -0.2800	 -0.3900	 -0.0500	 -0.0100	 -0.0100	 -0.0200	 -0.0200
73 s	 -0.2100	 -0.3000	 -0.1300	 -0.1600	 -0.1400	 -0.1300	 -0.1100
72	 -0.2900	 -0.3600	 -0.1000	 -0.0100	 -0.0100	 -0.0100	 -0.0100
72 s	 -0.3000	 -0.2000	 -0.1600	 -0.1700	 -0.0700	 -0.1000	 -0.0200
65	 -0.2700	 -0.3100	 -0.0900	 -0.0800	 -0.0100	 -0.0400	 -0.0800
65 s	 -0.1400	 -0.2000	 -0.0200	 -0.1100	 0.0600	 -0.0500	 -0.1800
64	 -0.2400	 -0.3200	 -0.0900	 -0.0500	 -0.0300	 -0.0400	 -0.0300
64 s	 -0.2000	 -0.2600	 -0.0900	 -0.0300	 -0.2000	 -0.0700	 -0.0500
63	 -0.2800	 -0.3500	 -0.1100	 -0.0400	 -0.0100	 -0.0300	 -0.0300
63 s	 -0.2300	 -0.2300	 -0.0800	 0.0100	 -0.0500	 -0.1200	 0.0100
62	 -0.2800	 -0.3900	 -0.0700	 -0.0200	 -0.0200	 -0.0200	 -0.0200
62 s	 -0.3200	 -0.3400	 -0.1500	 -0.0700	 -0.1200	 -0.0600	 -0.0800
54	 -0.2700	 -0.3200	 0.0100	 -0.0500	 -0.0600	 -0.1100	 -0.0400
54 s	 -0.1600	 -0.0600	 -0.0200	 -0.1000	 -0.1400	 -0.0800	 0.0100
53	 -0.2600	 -0.3200	 -0.0700	 -0.0300	 -0.0300	 -0.0100	 0.0000
53 s	 -0.2800	 -0.2400	 -0.1200	 -0.0900	 -0.1000	 0.1400	 0.0100
52	 -0.2800	 -0.3600	 -0.0700	 -0.0300	 -0.0100	 -0.0200	 -0.0500
52 s	 -0.2500	 -0.3200	 -0.1800	 -0.0900	 -0.0400	 0.0000	 -0.0700
43	 -0.2400	 -0.3400	 -0.1500	 -0.0700	 0.0000	 -0.0700	 -0.0200
43 s	 -0.2300	 -0.2700	 -0.1600	 -0.1500	 -0.0900	 -0.1000	 -0.0800
42	 -0.2600	 -0.3700	 -0.0800	 -0.0200	 -0.0200	 -0.0300	 -0.0200
42 s	 -0.2100	 -0.2600	 -0.1900	 -0.0600	 -0.0800	 -0.1000	 -0.1000
32	 -0.2900	 -0.3800	 -0.0600	 -0.0400	 -0.0500	 -0.0400	 -0.0700
32 s	 -0.2000	 -0.3300	 -0.0800	 -0.0800	 -0.1200	 -0.1000	 -0.1300

