T4	 -0.2800	 -0.3700	 -0.0800	 -0.0200	 -0.0300	 -0.0200	 -0.0200	 -0.0200
T4 s	 -0.2300	 -0.2200	 -0.1400	 -0.1100	 -0.0800	 -0.0700	 -0.0700	 -0.0700
T3	 -0.2500	 -0.3600	 -0.0800	 -0.0200	 -0.0300	 -0.0200	 -0.0200	 -0.0200
T3 s	 -0.2600	 -0.3000	 -0.1000	 -0.0700	 -0.1200	 -0.0700	 -0.0700	 -0.0200
T2	 -0.2900	 -0.3700	 -0.0600	 -0.0200	 -0.0200	 -0.0200	 0.0000	 -0.0200
T2 s	 -0.3100	 -0.3200	 -0.1000	 -0.0500	 -0.0600	 -0.0700	 -0.0600	 -0.0800
98	 -0.1700	 -0.3000	 -0.0900	 -0.0500	 -0.0600	 -0.0600	 -0.0400	 -0.0300
98 s	 -0.1100	 -0.0100	 0.0600	 0.0500	 0.0000	 0.0300	 -0.0800	 0.0000
97	 -0.1600	 -0.2700	 -0.0900	 -0.0400	 -0.0200	 -0.0400	 -0.0500	 -0.0400
97 s	 -0.1300	 -0.0800	 -0.0100	 -0.0900	 -0.0600	 -0.0100	 0.0100	 -0.0900
96	 -0.3000	 -0.3400	 -0.0700	 -0.0400	 -0.0200	 -0.0300	 0.0100	 -0.0500
96 s	 -0.2700	 -0.2200	 -0.0300	 -0.1300	 -0.1400	 -0.0500	 -0.0300	 -0.0200
95	 -0.2700	 -0.3800	 -0.0800	 -0.0300	 0.0000	 -0.0200	 -0.0100	 -0.0200
95 s	 -0.2300	 -0.2600	 -0.1100	 -0.0400	 -0.0900	 -0.1100	 -0.0100	 -0.0300
94	 -0.2800	 -0.3600	 -0.0800	 -0.0200	 -0.0100	 -0.0100	 0.0100	 -0.0200
94 s	 -0.2400	 -0.3000	 -0.0500	 -0.1200	 -0.0200	 -0.0900	 -0.1300	 -0.0400
93	 -0.2700	 -0.3800	 -0.0700	 -0.0300	 -0.0300	 -0.0200	 0.0000	 -0.0100
93 s	 -0.2000	 -0.3200	 -0.1900	 -0.0600	 -0.0300	 -0.0600	 -0.0900	 -0.0800
92	 -0.2600	 -0.4000	 -0.0700	 -0.0200	 -0.0200	 -0.0200	 -0.0100	 -0.0200
92 s	 -0.2800	 -0.3100	 -0.0700	 -0.0500	 -0.0700	 -0.0500	 -0.0800	 -0.0900
87	 -0.2200	 -0.2600	 -0.1100	 -0.0600	 -0.0700	 -0.0500	 -0.0700	 -0.0400
87 s	 -0.0700	 -0.1100	 -0.0500	 -0.0400	 0.0000	 -0.0200	 -0.0500	 0.0200
86	 -0.2600	 -0.3500	 -0.0900	 -0.0300	 -0.0200	 -0.0300	 -0.0100	 -0.0500
86 s	 -0.1900	 -0.1700	 0.0100	 -0.0500	 -0.1300	 0.0500	 0.0000	 -0.0500
85	 -0.2500	 -0.3400	 -0.0600	 -0.0200	 -0.0300	 -0.0200	 -0.0300	 -0.0200
85 s	 -0.1900	 -0.2500	 -0.0700	 -0.1100	 -0.1200	 -0.1400	 -0.1000	 -0.0200
84	 -0.3000	 -0.3000	 -0.0700	 -0.0300	 -0.0300	 -0.0200	 -0.0600	 -0.0400
84 s	 -0.1900	 -0.2900	 -0.1100	 -0.0400	 -0.1100	 -0.0800	 0.1300	 -0.0800
83	 -0.2800	 -0.3800	 -0.0800	 -0.0300	 -0.0200	 -0.0100	 -0.0100	 -0.0200
83 s	 -0.2500	 -0.3100	 -0.0900	 0.0700	 -0.1200	 -0.0800	 -0.0500	 -0.0600
82	 -0.2600	 -0.3600	 -0.0400	 -0.0100	 0.0000	 -0.0100	 -0.0100	 -0.0200
82 s	 -0.2500	 -0.2800	 -0.1100	 -0.0600	 -0.0900	 -0.0400	 -0.0600	 -0.0600
76	 -0.2300	 -0.3000	 -0.1000	 -0.0500	 -0.0400	 -0.0500	 -0.0400	 -0.0600
76 s	 -0.0700	 -0.1400	 0.0800	 -0.0400	 -0.0700	 0.1300	 0.0000	 -0.0100
75	 -0.2700	 -0.3200	 -0.0500	 -0.0400	 -0.0100	 -0.0300	 -0.0400	 -0.0100
75 s	 -0.2100	 -0.1700	 -0.0300	 -0.0800	 -0.1200	 -0.0100	 -0.0200	 -0.0400
74	 -0.2800	 -0.3200	 -0.0500	 -0.0400	 -0.0100	 0.0000	 -0.0200	 -0.0200
74 s	 -0.1900	 -0.2500	 -0.1200	 -0.2000	 -0.1700	 -0.0600	 -0.0700	 -0.0900
73	 -0.2900	 -0.3300	 -0.0800	 -0.0100	 -0.0100	 -0.0200	 -0.0100	 -0.0100
73 s	 -0.2900	 -0.3100	 -0.0900	 -0.1100	 -0.0800	 -0.0900	 -0.0800	 -0.0500
72	 -0.2700	 -0.3500	 -0.0800	 -0.0100	 -0.0100	 0.0100	 -0.0100	 -0.0200
72 s	 -0.2700	 -0.3200	 -0.1400	 -0.0900	 -0.0800	 -0.0700	 -0.0700	 -0.0500
65	 -0.2500	 -0.2900	 -0.0500	 -0.0500	 -0.0300	 -0.0600	 -0.0400	 -0.0600
65 s	 -0.2600	 -0.1800	 -0.0800	 -0.1000	 -0.0800	 -0.0400	 0.0800	 -0.0700
64	 -0.2900	 -0.3100	 -0.0800	 -0.0300	 -0.0400	 -0.0200	 -0.0200	 -0.0300
64 s	 -0.1900	 -0.2400	 -0.0800	 0.0400	 -0.0500	 -0.0900	 -0.0300	 -0.0600
63	 -0.2800	 -0.3600	 -0.0700	 -0.0300	 -0.0200	 -0.0200	 -0.0300	 -0.0200
63 s	 -0.2200	 -0.1600	 -0.0600	 -0.0500	 -0.0300	 -0.1100	 -0.0400	 -0.0800
62	 -0.2600	 -0.3800	 -0.1000	 -0.0200	 -0.0100	 -0.0100	 -0.0200	 -0.0200
62 s	 -0.3200	 -0.3100	 -0.1100	 -0.0500	 -0.0700	 -0.1100	 -0.0600	 -0.1000
54	 -0.2700	 -0.3100	 -0.1000	 -0.0500	 -0.0300	 -0.0300	 -0.0600	 -0.0500
54 s	 -0.1400	 -0.3100	 -0.2000	 -0.0600	 -0.0500	 0.0000	 -0.0900	 0.0200
